Game,Tags
Hellpoint,"Single-player,Online PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Remote Play Together"
"Cook, Serve, Delicious! 3","Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Levelhead,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Includes level editor,Remote Play Together"
Fury Unleashed,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Size Matters,"Single-player,Steam Achievements,Steam Cloud"
Morkredd,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together"
Relicta,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Retimed,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play Together"
Family Man,"Single-player,Steam Achievements,Full controller support"
Vane debugger eval code:58:11,Game not found
Summertime Madness (DRM Free),Game not found
Sniper Ghost Warrior Contracts,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
F1 2020,"Downloadable Content,In-App Purchases,Profile Features Limited 
										

"
Shenmue III,"Single-player,Steam Achievements,Partial Controller Support"
Main Assembly,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor"
Rock of Ages 3: Make & Break,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Includes level editor,Remote Play Together"
Remothered: Broken Porcelain,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
In Other Waters,"Single-player,Partial Controller Support"
Aven Colony,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
SIMULACRA + SIMULACRA 2,"Single-player,Steam Achievements"
Colt Canyon,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Skully,"Single-player,Steam Achievements,Full controller support"
Popup Dungeon,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Includes level editor,Remote Play Together"
Rogue Mansion (DRM Free),Game not found
Control Standard Edition,Game not found
XCOM: Chimera Squad,"Single-player,Steam Achievements,Steam Workshop,Remote Play on Tablet"
ELEX,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Kingdom Two Crowns,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
WWE 2K BATTLEGROUNDS,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Remote Play Together"
Hotshot Racing,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Remote Play Together"
Not on steam anymore (delisted),Game not found
Cyber Hook,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor"
Pesterquest,Single-player
Wildfire,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Captions available,Steam Cloud,Remote Play Together"
Boreal Blade,"Online PvP,Full controller support"
Ageless debugger eval code:58:11,Game not found
Ruin Raders - Unknown Menace (DRM Free),Game not found
Outward + The Soroboreans and Outward Soundtrack,Game not found
Valkyria Chronicles 4 Complete Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Endless Space® 2 - Digital Deluxe Edition,Game not found
Moving Out,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Trine 4: The Nightmare Prince,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
The Wild Eight,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Remote Play on TV"
Train Station Renovation,"Single-player,Steam Achievements,Steam Cloud"
Valfaris,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Werewolf: The Apocalypse  Heart of the Forest,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Lovecraft's Untold Stories,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Iris and the Giant,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats"
Boomerang Fu,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together"
Co-Open (DRM Free),Game not found
PC Building Simulator,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Ancestors: The Humankind Odyssey,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Pathologic 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Warhammer: Chaosbane,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Total Tank Simulator,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud"
SONG OF HORROR COMPLETE EDITION,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Not Tonight,"Single-player,Steam Achievements,Steam Cloud"
Vampire: The Masquerade - Shadows of New York,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Tales of the Neon Sea,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
Minoria,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support"
Deleveled,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats"
The Ambassador: Fractured Timelines debugger eval code:58:11,Game not found
Heeey! Park-Boy (DRM Free),Game not found
Overcooked! 2 + Too Many Cooks + Surf 'n' Turf Pack,Game not found
Children of Morta,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
One Step From Eden,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
The Beast Inside,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Indivisible,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Shining Resonance Refrain,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Zwei: The Arges Adventure,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Zwei: The Ilvard Insurrection,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Tabletop Playground,"Single-player,Online PvP,LAN PvP,Shared/Split Screen PvP,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Tracked Controller Support,VR Supported,Steam Cloud,Includes level editor,Remote Play Together"
"The Haunted Island, a Frog Detective Game","Single-player,Additional High-Quality Audio"
Frog Detective 2: The Case of the Invisible Wizard,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Still There,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Struggling,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Path of Giants,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Darksiders III,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Yakuza Kiwami 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Imperator: Rome Deluxe Edition,Game not found
Crying Suns,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Darksburg,"Single-player,Online Co-op,Steam Achievements,Steam Cloud"
Little Misfortune,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Smile For Me,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
Darkwood,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
TSIOQUE,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Rover Mechanic Simulator,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Youropa,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Stats,Includes level editor"
Townsmen - A Kingdom Rebuilt,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Torii (DRM Free),Game not found
Tropico 6 - El Prez Edition,"Single-player,Online PvP,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV"
Fae Tactics,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
THE SUNLESS SEA + SKIES BUNDLE,Game not found
Iron Danger,"Single-player,Steam Achievements,Steam Cloud"
Autonauts,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Includes level editor"
Shadows: Awakening,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Fantasy Blacksmith,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
The Suicide of Rachel Foster,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
GOAT OF DUTY,"Online PvP,Steam Achievements,Steam Cloud"
The Uncertain: Last Quiet Day,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support"
Basement,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Lightmatter,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Fate Of Kai (DRM Free),Game not found
Syzygy (DRM Free),Game not found
Golf With Your Friends + Caddypack DLC + OST,Game not found
Generation Zero,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Forager,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Vampire: The Masquerade - Coteries of New York,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Fun with Ragdolls: The Game,"Single-player,Includes level editor"
Lethal League Blaze,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Strange Brigade,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Evoland Legendary Edition,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Yooka-Laylee and the Impossible Lair,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Catherine Classic,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together"
The Occupation,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
The Shapeshifting Detective,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Alt254 (DRM Free),Game not found
Carto Sneak Peak (DRM Free),Game not found
Vampyr,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Hello Neighbor + Hello Neighbor Hide and Seek Collection,Game not found
Wargroove,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Turn Notifications,Includes level editor,Remote Play on TV,Remote Play Together"
Call of Cthulhu,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Little Big Workshop,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Genesis Alpha One Deluxe Edition,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Automachef,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud"
Through the Darkest of Times,"Single-player,Steam Achievements,Steam Cloud"
American Fugitive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
The Coma 2: Vicious Sisters,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support"
We Were Here Together,"Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
A Case of Distrust,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Booth (DRM Free),Game not found
Wildfire Sneak Peak (DRM Free),Game not found
Zodiac XX (DRM Free),Game not found
Age of Wonders: Planetfall - Deluxe Edition,"Single-player,Online PvP,Downloadable Content,Steam Achievements"
Void Bastards,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Railway Empire,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV"
Battlestar Galactica Deadlock,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Yuppie Psycho,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
Beat Hazard 2,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,VR Supported,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play Together"
Sigma Theory: Global Cold War,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Steam Leaderboards"
Metal Unit,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Don't Escape: 4 Days to Survive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Verlet Swing,"Single-player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Leaderboards,Includes level editor"
Basingstoke,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on TV"
EARTHLOCK,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Grotto (DRM Free),Game not found
Popup Dungeon Sneak Peak (DRM Free),Game not found
Supraland,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
GRID - Ultimate Edition,"Single-player,Online PvP,Downloadable Content,Full controller support"
Hellblade: Senua's Sacrifice,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
The Messenger,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Barotrauma,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
Felix The Reaper,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Men of War: Assault Squad 2 - Warchest Edition,Game not found
Stygian: Reign of the Old Ones,"Single-player,Steam Achievements,Steam Trading Cards"
Remnants of Naezith,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Includes level editor"
Overload,"Single-player,Online PvP,Steam Achievements,Full controller support,VR Supported,Captions available,Steam Cloud,Steam Leaderboards,Remote Play on TV"
The Stillness of the Wind,Single-player
The King's Bird,"Single-player,Steam Achievements,Full controller support,Remote Play on TV"
Before I Forget (DRM Free),Game not found
Ikenfell Sneak Peak (DRM Free),Game not found
Jurassic World Evolution + 1 DLC,Game not found
XCOM® 2 + 2 DLC,Game not found
Rise of Industry,"Single-player,Steam Cloud"
Niche - a genetics survival game,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
"Warhammer 40,000: Gladius - Relics of War","Single-player,Online PvP,LAN PvP,Shared/Split Screen PvP,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play Together"
The Swords of Ditto: Mormo's Curse,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
WARSAW,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
Heave Ho,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
MO:Astray,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
NEOVERSE,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Chess Ultra,"Single-player,Online PvP,Shared/Split Screen PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Cloud,Steam Turn Notifications,Remote Play on TV,Remote Play Together"
Horace,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Rainy Season (DRM Free),Game not found
Fae Tactics Sneak Peak (DRM Free),Game not found
HITMAN 2,"Single-player,Steam Cloud"
GRIS,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
This Is the Police 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Opus Magnum,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
MOLEK-SYNTEZ,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards"
Raiden V: Director's Cut,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Driftland: The Magic Revival,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor"
Turok 2: Seeds of Evil,"Single-player,Online PvP,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together"
Truberbrook / Trüberbrook,"Single-player,Steam Achievements,Steam Trading Cards"
The Bard's Tale IV: Director's Cut,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Shoppe Keep 2,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards"
Capitalism 2,"Single-player,Steam Trading Cards"
Divinoids (DRM Free),Game not found
Ring of Pain Exclusive Sneak Peak (DRM Free),Game not found
My Friend Pedro,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Planet Coaster + 1 DLC,Game not found
F1 2019 Anniversary Edition,Game not found
Fell Seal: Arbiter's Mark,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Battle Chasers: Nightwar,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
EXAPUNKS,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
Turok,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Death's Gambit,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
198X,"Single-player,Partial Controller Support"
Niffelheim,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
AI War 2,"Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud"
Etherborn,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
One Step From Eden Exclusive Sneak Peak (DRM Free),Game not found
Space Routine (DRM Free),Game not found
Etherbo (DRM Free),Game not found
Frostpunk + 1 DLC,Game not found
Pathfinder: Kingmaker - Enhanced Plus Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
Book of Demons,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV"
CryoFall,"Single-player,MMO,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor"
Okami HD,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Eliza,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
SHENZHEN I/O,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
Project Warlock,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
The Hex,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Warstone TD,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards"
Underhero,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
Night Call,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Tales From Off-Peak City Vol. 1 (DRM Free),Game not found
Middle-earth: Shadow of War,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud"
Graveyard Keeper,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Two Point Hospital,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet"
DiRT Rally 2.0 + 3 DLCs,Game not found
Street Fighter V,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Bad North: Jotunn Edition,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Trailmakers,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Leaderboards,Remote Play on TV"
Unrailed!,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Whispers of a Machine,"Single-player,Steam Achievements,Steam Cloud"
Them's Fightin' Herds,"Single-player,Online PvP,Shared/Split Screen PvP,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Mages of Mystralia,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
GRIP + 1 DLC,Game not found
Unparallel (DRM Free),Game not found
Shadow of the Tomb Raider,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Blasphemous,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Ancestors Legacy,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV"
Phantom Doctrine,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Dead In Vinland,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Horizon Chase Turbo,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Remote Play on TV,Remote Play Together"
Dark Future: Blood Red States,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
X-Morph: Defense,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together"
Aegis Defenders,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Captions available,Steam Cloud,Remote Play on TV,Remote Play Together"
Desert Child,"Single-player,Shared/Split Screen PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play Together"
Arrog (DRM Free),Game not found
Soulcalibur Vi,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together"
Yakuza Kiwami,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV"
My Time At Portia,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Fluffy Horde,"Single-player,Online PvP,Steam Achievements"
Chasm,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Regular Human Basketball,"Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on TV,Remote Play Together"
Sword Legacy Omen,"Single-player,Steam Achievements,Steam Trading Cards"
Balconing Simulator 2020,"Single-player,Steam Achievements,Steam Leaderboards,Profile Features Limited 
										

"
Call Of Duty(R): WWII,Game not found
Crash Bandicoot N. Sane Trilogy,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Spyro Reignited Trilogy,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Shenmue I & Ii,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
11-11 Memories Retold,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Synthetik: Legion Rising,"Single-player,Online Co-op,Full controller support,Steam Trading Cards"
Evergarden,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards"
Operator,"Single-player,Online Co-op"
About The Charity,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats"
Battletech,"Single-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play Together"
Battletech Flashpoint,"Single-player,Online PvP,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud"
Battletech - Shadow Hawk Pack,"Single-player,Online PvP,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud"
Sonic Mania,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
The Spiral Scouts,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards"
Planet Alpha,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
